I,C,P,E,M,GDP,Inf,Unemp,Rate,FX
10,12,25,18,15,42,5,6,4,3
12,14,30,22,18,52,6,5,5,4
11,13,28,20,16,48,5.5,5.5,4.5,3.5
15,18,38,28,22,68,7,4,6,5
13,16,32,24,19,56,6,5.5,5,4.5
14,17,35,26,20,62,6.5,5,5.5,4.5
16,20,42,30,24,76,8,3.5,7,6
18,22,48,34,28,86,9,3,8,7
20,24,54,38,32,96,10,2.5,9,8
17,21,45,32,26,80,8.5,3.5,7.5,6.5
19,23,50,36,30,90,9.5,3,8.5,7.5
21,25,56,40,34,104,11,2,10,9
22,26,60,42,36,112,12,1.5,11,10
23,27,64,44,38,120,13,1,12,11
24,28,68,46,40,128,14,0.5,13,12
25,29,72,48,42,136,15,0,14,13
26,30,76,50,44,144,16,-0.5,15,14
27,31,80,52,46,152,17,-1,16,15
28,32,84,54,48,160,18,-1.5,17,16
29,33,88,56,50,168,19,-2,18,17
30,34,92,58,52,176,20,-2.5,19,18
31,35,96,60,54,184,21,-3,20,19
32,36,100,62,56,192,22,-3.5,21,20
33,37,104,64,58,200,23,-4,22,21
34,38,108,66,60,208,24,-4.5,23,22
35,39,112,68,62,216,25,-5,24,23
36,40,116,70,64,224,26,-5.5,25,24
37,41,120,72,66,232,27,-6,26,25
38,42,124,74,68,240,28,-6.5,27,26
39,43,128,76,70,248,29,-7,28,27
40,44,132,78,72,256,30,-7.5,29,28
41,45,136,80,74,264,31,-8,30,29
42,46,140,82,76,272,32,-8.5,31,30
43,47,144,84,78,280,33,-9,32,31
44,48,148,86,80,288,34,-9.5,33,32
45,49,152,88,82,296,35,-10,34,33
46,50,156,90,84,304,36,-10.5,35,34
47,51,160,92,86,312,37,-11,36,35
48,52,164,94,88,320,38,-11.5,37,36
49,53,168,96,90,328,39,-12,38,37
50,54,172,98,92,336,40,-12.5,39,38
51,55,176,100,94,344,41,-13,40,39
52,56,180,102,96,352,42,-13.5,41,40
53,57,184,104,98,360,43,-14,42,41
54,58,188,106,100,368,44,-14.5,43,42
55,59,192,108,102,376,45,-15,44,43
56,60,196,110,104,384,46,-15.5,45,44
57,61,200,112,106,392,47,-16,46,45
58,62,204,114,108,400,48,-16.5,47,46
59,63,208,116,110,408,49,-17,48,47
60,64,212,118,112,416,50,-17.5,49,48
